,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
33,33,emp_length:7-9,0.06158905106009002,0.0030544479155687667,emp_length,4.748778359095962,5.0,0.2512216409040384,5.0
34,34,emp_length:10,0.12533606992727547,1.0352187825628163e-11,emp_length,9.663945234422872,10.0,0.33605476557712777,10.0
35,35,mths_since_issue_d:<38,1.091989083149754,7.31029949720542e-189,mths_since_issue_d,84.19701289716564,84.0,-0.19701289716563508,84.0
36,36,mths_since_issue_d:38-39,0.8906322161062892,1.158765837716897e-158,mths_since_issue_d,68.6715401676306,69.0,0.3284598323694041,69.0
37,37,mths_since_issue_d:40-41,0.7889185984757445,1.8745680319923715e-131,mths_since_issue_d,60.82898669561763,61.0,0.17101330438237028,61.0
38,38,mths_since_issue_d:42-48,0.587155967744974,4.829502305354674e-94,mths_since_issue_d,45.27222785622999,45.0,-0.27222785622998913,45.0
39,39,mths_since_issue_d:49-52,0.42505147788819053,8.027701993190125e-44,mths_since_issue_d,32.77328072042947,33.0,0.22671927957053128,33.0
40,40,mths_since_issue_d:53-64,0.17865714838831584,5.216367151687583e-10,mths_since_issue_d,13.77522766402873,14.0,0.2247723359712701,14.0
41,41,mths_since_issue_d:65-84,-0.0606258100490624,0.03499854966544542,mths_since_issue_d,-4.674508371346048,-5.0,-0.3254916286539524,-5.0
42,42,int_rate:<9.548,0.8674068081449929,3.711846290233103e-30,int_rate,66.88076221587791,67.0,0.11923778412209174,67.0
43,43,int_rate:9.548-12.025,0.5404343691316389,7.712615520262567e-34,int_rate,41.66979345306142,42.0,0.33020654693857665,42.0
44,44,int_rate:12.025-15.74,0.29122761897233007,1.983779784654454e-15,int_rate,22.454890775919417,22.0,-0.4548907759194165,22.0
45,45,int_rate:15.74-20.281,0.10311567282516286,0.00036835940648714485,int_rate,7.950657903756263,8.0,0.049342096243736755,8.0
46,46,mths_since_earliest_cr_line:141-164,0.05644183035275349,0.023174208125502416,mths_since_earliest_cr_line,4.351905702612875,4.0,-0.3519057026128749,4.0
47,47,mths_since_earliest_cr_line:165-247,0.038176283311313945,0.056865360098698026,mths_since_earliest_cr_line,2.943554169110443,3.0,0.05644583088955679,3.0
48,48,mths_since_earliest_cr_line:248-270,0.08062665270770364,0.002092264248172755,mths_since_earliest_cr_line,6.216658593605049,6.0,-0.21665859360504935,6.0
49,49,mths_since_earliest_cr_line:271-352,0.12284138137888224,1.497967470363125e-07,mths_since_earliest_cr_line,9.47159411377099,9.0,-0.4715941137709905,9.0
50,50,mths_since_earliest_cr_line:>352,0.13143083673262915,6.942715165755048e-07,mths_since_earliest_cr_line,10.133877733963441,10.0,-0.13387773396344116,10.0
51,51,inq_last_6mths:0,0.6944648587188078,8.174307166721324e-18,inq_last_6mths,53.5462007527753,54.0,0.4537992472247012,54.0
52,52,inq_last_6mths:1-2,0.5473467472924928,1.1832669750363146e-11,inq_last_6mths,42.20276727316662,42.0,-0.20276727316662146,42.0
53,53,inq_last_6mths:3-6,0.336632589515628,3.564053092485004e-05,inq_last_6mths,25.95580754278164,26.0,0.044192457218361625,26.0
54,54,acc_now_delinq:>=1,0.2354470155545602,0.023265468487649852,acc_now_delinq,18.153968488463203,18.0,-0.1539684884632031,18.0
55,55,annual_inc:20K-30K,-0.06893839261732528,0.09946933794958483,annual_inc,-5.315443919611781,-5.0,0.31544391961178064,-5.0
56,56,annual_inc:30K-40K,-0.0055337380086834505,0.8904941559811308,annual_inc,-0.4266747879408606,-0.0,0.4266747879408606,-0.0
57,57,annual_inc:40K-50K,0.08931019858892782,0.026067571657166756,annual_inc,6.886196994525395,7.0,0.11380300547460465,7.0
58,58,annual_inc:50K-60K,0.15633505499174202,0.00012077626817714795,annual_inc,12.054099115580305,12.0,-0.054099115580305224,12.0
59,59,annual_inc:60K-70K,0.23173599111933665,2.5524352939788922e-08,annual_inc,17.86783268632409,18.0,0.13216731367591095,18.0
60,60,annual_inc:70K-80K,0.3062450096375261,5.401058893211904e-13,annual_inc,23.612795607597924,24.0,0.3872043924020758,24.0
61,61,annual_inc:80K-90K,0.3803097863951974,7.96956433250228e-18,annual_inc,29.32350559556228,29.0,-0.3235055955622812,29.0
62,62,annual_inc:90K-100K,0.40076135326880696,2.1664158991447228e-18,annual_inc,30.90040857600023,31.0,0.09959142399976884,31.0
63,63,annual_inc:100K-120K,0.4793907275281801,4.9830723131915695e-26,annual_inc,36.96306848787098,37.0,0.03693151212902279,37.0
64,64,annual_inc:120K-140K,0.5770427530455969,7.345108693858206e-29,annual_inc,44.492455895489165,44.0,-0.49245589548916513,44.0
65,65,annual_inc:>140K,0.5052996782762172,1.3483610907187917e-26,annual_inc,38.96075902704036,39.0,0.039240972959639464,39.0
66,66,dti:<=1.4,0.25254126144138495,0.0023302819002020236,dti,19.472007710292054,19.0,-0.47200771029205413,19.0
67,67,dti:1.4-3.5,0.37149683920741167,8.815712278948519e-08,dti,28.643989802335,29.0,0.3560101976650003,29.0
68,68,dti:3.5-7.7,0.38921676698819613,6.679437778237386e-11,dti,30.010271765147397,30.0,-0.01027176514739736,30.0
69,69,dti:7.7-10.5,0.3246285667614585,4.3076384999882846e-08,dti,25.03024622147668,25.0,-0.030246221476680546,25.0
70,70,dti:10.5-16.1,0.24525331625804853,1.825782022759372e-05,dti,18.910076071904914,19.0,0.08992392809508587,19.0
71,71,dti:16.1-20.3,0.14390766462129803,0.012075452618620586,dti,11.095894346462766,11.0,-0.09589434646276551,11.0
72,72,dti:20.3-21.7,0.1327422250993226,0.027111399074146784,dti,10.234991366807828,10.0,-0.23499136680782762,10.0
73,73,dti:21.7-22.4,0.09749295342088518,0.12889742267932652,dti,7.517122270933287,8.0,0.482877729066713,8.0
74,74,dti:22.4-35,0.05460593304355804,0.33541990947030575,dti,4.210350194590454,4.0,-0.210350194590454,4.0
75,75,mths_since_last_delinq:Missing,0.16752750942117245,0.00039946836858174145,mths_since_last_delinq,12.917085059750645,13.0,0.08291494024935453,13.0
76,76,mths_since_last_delinq:4-30,0.1922675646915712,6.768158835875502e-05,mths_since_last_delinq,14.824648775195488,15.0,0.17535122480451193,15.0
77,77,mths_since_last_delinq:31-56,0.23903427302096228,1.0346507641757463e-06,mths_since_last_delinq,18.430561329751423,18.0,-0.43056132975142347,16.0
78,78,mths_since_last_delinq:>=57,0.19177320207482682,0.00013797251152420379,mths_since_last_delinq,14.786531310231606,15.0,0.21346868976839417,15.0
79,79,mths_since_last_record:Missing,0.10272679479875071,2.756668148959186e-06,mths_since_last_record,7.920673750333406,8.0,0.07932624966659407,8.0
80,80,mths_since_last_record:3-20,0.21281492676951683,0.023584184074224333,mths_since_last_record,16.408937974213302,16.0,-0.4089379742133019,16.0
81,81,mths_since_last_record:21-31,0.13571707713092923,0.09164612373315242,mths_since_last_record,10.46436513870477,10.0,-0.46436513870476936,10.0
82,82,mths_since_last_record:32-80,0.2866792878909958,1.2506545052016632e-18,mths_since_last_record,22.104195062358727,22.0,-0.10419506235872689,22.0
83,83,mths_since_last_record:81-86,-0.049875429056536115,0.44552543101237896,mths_since_last_record,-3.8456081734921015,-4.0,-0.1543918265078985,-4.0
84,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
85,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
86,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
87,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
88,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
89,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
90,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
91,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
92,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
93,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
94,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
95,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
96,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
97,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
98,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
99,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
100,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
